the_geom,district_agency,districts,shape_leng,shape_area,province_territory,status,objectid,cartodb_id,created_at,updated_at
0106000020E610000001000000010300000001000000110000005C5ABFB9D680524028B0D5C0FB9F404030F565E0E98052407035B43E60994040D8C2F2C2478B5240E8CAA044B78D4040ECCD56E3228D5240E03743B78A854040C0D5227FA0955240E01D66165283404088D8B49B5A945240A8048294B8754040387520267D9A5240805EEA85B4734040F4F29EFA8B9D5240C823A52356654040C8C1F388489C52409065C9855D6540408050845AC9975240887E14BAB36240409C4DD5C52894524060065847D1684040508944C6207F5240A83D67CD177B4040CCDBD5014D7C524010CB3DC4CE8240405C2D7005D474524050D18263B581404090301A2BB37A524080B34C3B26974040B4588C36187A5240789366588C9D40405C5ABFB9D680524028B0D5C0FB9F4040,Bhimber,Bhimber,1.987888,0.117047,Azad Jammu & Kashmir,District,2,2,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000000C0000008715731C0C7C5240A0E8E18611044140F023968DAB7752404818C53F4402414060466839CC73524087D1A90FC90A41408868A3DE8E6C5240803F25CB450A414004DB0CDFE9675240783F29DAFB194140883AAF4EB26D5240C8ED8DB9AE1B41401C22B57B1670524068B3320D4D2A4140E0D2FAF57B745240708EE8A5CA2C4140E47CB2E08F795240BFD5B7660E2E41403CB06545807E5240589FCE521C1B414023B8739B86785240A8B967A1640641408715731C0C7C5240A0E8E18611044140,Hattian,Hattian,1.300416,0.066683,Azad Jammu & Kashmir,District,3,3,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E610000001000000010300000001000000090000007C6219F0AC835240A013313241E840409879BAD4707E5240A0FE9C90EEF540403C4F64F3158052404085A122BBFC40408715731C0C7C5240A0E8E1861104414060ED42DD5B87524038E45B5FE20641409C62657AEA8F524008B000EBC4014140F88EB845B6905240C08A53BF5FF64040D41DE0BFE28A5240D06CBA5481EB40407C6219F0AC835240A013313241E84040,Haveli,Haveli,1.001545,0.053722,Azad Jammu & Kashmir,District,4,4,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000000C000000B4588C36187A5240789366588C9D404090301A2BB37A524080B34C3B269740405C2D7005D474524050D18263B5814040D42B2E8392735240B053F138238140402CFF2B3F3668524098DE0A771F8C404064442B20B16A524070C9A0378F9B4040C07F3E1BE967524000D971C7ACA04040E01FEBBF8364524060E929CBA4AF404050B59A261868524057752175E9BA4040E4A49EE9CD6C524088667394D4BA4040B8C2485E057152403852C43B9FAC4040B4588C36187A5240789366588C9D4040,Mirpur,Mirpur,1.477625,0.086768,Azad Jammu & Kashmir,District,6,6,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E61000000100000001030000000100000010000000FCBAE70029485140B0C1EFE2CB703C404B66C881E23A5140B02602E7226E3C40709D00E0BA3551402040FC1F426E3C4088DBFF9FE2345140305DFD5F466E3C401CA2FF5F592E514010F300A0226E3C40A85F00E0582D51402093FDDF146E3C4054930C5F2421514080E0843D706E3C40C41200C03C20514060C10240806E3C40C39C0B1CCA1B5140D06C021BB5683C4068E7F24A7C185140C0AAC9790E903C40E3EB2DAB7118514030321069D3A33C40B7D3804A9418514040FEEC74C9A43C4074137AF6AE1C514070FB78C38BAC3C40AC6E0D9FFB1D5140D03DDDBB7CA53C4020ABEB80D03151406022FE83CF7B3C40FCBAE70029485140B0C1EFE2CB703C40,Sohbatpur,Sohbatpur,1.808907,0.072524,Balochistan,District,18,18,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000001300000044742E87367D51406F661851FEE43F40E4FFFF3F247C5140F093FE9FAC8B3F408CC2FF1F29815140C099FEBF12823F403F3567EA5A83514060DDE52AFA653F40907AE7E2D48151407174DD36BC4D3F40F0DF51198C7B514041E4211F703F3F407840DC6ABA7451409055FAD72F4B3F40947393600E6E5140FFA8F85008463F406C23E57F456E5140706477DD54533F40C8A45C0671645140F0524210525B3F40749CDCFD00625140608E7F1F6E853F405044B818CA675140E053A8C01FD73F40C8CE2C29F4625140D1161589E9F43F40B082A6B87D6B5140DF40BB38560940409C0D00208F765140D8A80000E10C404034CA004039735140101601A0E3024040901600805A78514020C9014051FB3F40680600E0C57651402079FCBF5DE43F4044742E87367D51406F661851FEE43F40,Sherani,Sherani,2.81312,0.290015,Balochistan,District,39,37,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E61000000100000001030000000100000010000000C00075675DD65140982C7B27CDE140408F0E3D9D4AD95140685CC49862D34040581E002031D55140684EFFDF1BD04040E073004094CD51409070FEBF6FDC404020F1CD73DEC75140C08FA4F255DE4040488262CA54C851402839C8A663CC4040C443004089C05140D8AB008039C640403855F6260AB051404083E48DD2CA404033B786D909B0514027DE9180A2D24040387303DB9AA75140A8135B4DB3D74040F49346CEF6A65140A068AE4F42E3404068A1975CA8AC5140984B817EA3DE4040B02E3BD100BF5140502E86E2CCE54040F043563728BE5140E836277FFDEA4040049EB99D5ACD5140A874335EFFEA4040C00075675DD65140982C7B27CDE14040,Orakzai Agency,Orakzai Agency,2.578255,0.133221,Federally Administered Tribal Areas,Agency,56,54,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E61000000100000001030000000100000016000000D806187D580B5140C1F26121DC5F3D4050A9D17AF8155140505B70D98A433D40389C19D6221F51403FF897DEAA373D4088021327FC1251405082FB5AE8393D40AC4FDA0687125140409A2CBC3E293D409812C2E38018514060A2D7B8AB0C3D409B4C22E09A1051405036075CF8FB3C40FC3C53383A0F5140CFD918C119DC3C4068882851800151402086594040C73C409CB457DD84015140301CD9F9A3B83C40DF462A5F56F750405F85632655AA3C40F4E9937CB9F750401FA7EAA3DB9B3C403C1FA511A9F1504010C39F62AD9B3C404CE2F006D4EB50404079D86292D63C404CF7B49E9CE950403F2121A20EE83C408310A37968EF5040B01041C14F173D40E0E8E998F2EE5040DFA23045CA253D40AC9E0DBA71FD504030315EFCD5163D402B971563EFFE504060FAD88342253D40B3D98DFCF6FE5040701F1E131A603D40ACBF211C89055140A0C02AE891573D40D806187D580B5140C1F26121DC5F3D40,Lehri,Lehri,3.241817,0.304225,Balochistan,District,40,38,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E610000001000000010300000001000000110000004BFDF0D8FA79524050C0F2B5E5CC4040A4568AE711815240208993DC19CC40402C083CA1A785524000B40FCD5EC94040B4EB08E0668B524058A081A9A7BD40401C2ADF62D88B524068A352BA16B1404030E8234297865240F8F219F5A0A240405C5ABFB9D680524028B0D5C0FB9F4040B4588C36187A5240789366588C9D4040B8C2485E057152403852C43B9FAC4040E4A49EE9CD6C524088667394D4BA404050B59A261868524057752175E9BA40404CE1C07F1F685240B0361446D1C84040305B1D8068645240C85DF686E4CF404040345ED71B665240C02A132DB4D74040106AC80F136852402053F84030D34040887E88FB8C77524070399627CCCA40404BFDF0D8FA79524050C0F2B5E5CC4040,Kotli,Kotli,2.017824,0.155069,Azad Jammu & Kashmir,District,5,5,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000000F0000000486D4AD3F695240281CF83416494140609C8271CD70524060C74BD0C5414140340B58A634715240408312FD8F314140E0D2FAF57B745240708EE8A5CA2C41401C22B57B1670524068B3320D4D2A4140883AAF4EB26D5240C8ED8DB9AE1B414004DB0CDFE9675240783F29DAFB1941408868A3DE8E6C5240803F25CB450A4140E80C0748C96A5240E8CFB876B9074140F471F256A45F5240E805A7A8B20D41400CF718C1BD5D5240883349003C234140B023AB697B59524070EB8845E12F41401CBC3304565C524088ABC6F709474140EC0065FA3965524038871C083C4B41400486D4AD3F695240281CF83416494140,Muzaffarabad,Muzaffarabad,1.998935,0.133357,Azad Jammu & Kashmir,District,7,7,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
