Bannu,Sudhnutti,Killa Abdullah,FR Tank,Hangu,Chiniot,Lahore,Islamabad,Charsadda,Mardan,Bagh,Peshawar,Bhimber,Hattian,Haveli,Mirpur,Sohbatpur,Sherani,Orakzai Agency,Lehri,Kotli,Muzaffarabad,Neelum,Poonch,Awaran,Barkhan,Chaghi,Dera Bugti,Kohlu,Gwadar,Harnai,Jaffarabad,Jhal Magsi,Kachhi,Kalat,FR Peshawar,Kech,Kharan,Loralai,Khuzdar,Killa Saifullah,Lasbela,FR DI Khan,Mastung,Musakhail,Nasirabad,Nushki,Khyber Agency,Panjgur,Pishin,Quetta,Sibi,Kurram Agency,Mohmand Agency,Washuk,Zhob,Ziarat,Bajaur Agency,FR Bannu,FR Kohat,FR Lakki Marwat,Bhakkar,North Waziristan Agency,South Waziristan Agency,Astor,Skardu,Diamir,Ghanchi,Ghizer,Gilgit,Hunza Nagar,Abbottabad,Batagram,Nowshera,Buner,Chitral,Gujrat,Dera Ismail Khan,Haripur,Karak,Kohat,Kohistan,Lakki Marwat,Lower Dir,Malakand,Mandi Bahauddin,Mansehra,Shangla,Swabi,Hafizabad,Swat,Tank,Tor Ghar,Khushab,Upper Dir,Attock,Jhang,Bahawalnagar,Bahawalpur,Shikarpur,Chakwal,Dera Ghazi Khan,Faisalabad,Gujranwala,Jhelum,Kasur,Khanewal,Layyah,Lodhran,Mianwali,Multan,Muzaffargarh,Nankana Sahib,Narowal,Okara,Pakpattan,Rahim Yar Khan,Rajanpur,Rawalpindi,Sahiwal,Sargodha,Sheikhupura,Sialkot,Toba Tek Singh,Vehari,Badin,Dadu,Ghotki,Hyderabad,Jacobabad,Mirpurkhas,Jamshoro,Kambar-Shahdadkot,Karachi,Kashmore,Khairpur,Larkana,Matiari,Naushehro Feroze,Sanghar,Shaheed Benazirabad,Sukkur,Tando Allah Yar,Tando Muhammad Khan,Tharparkar,Thatta,Sajawal,Umerkot
Bannu,Trarkhel,not_found,not_found,Hangu,Chiniot,Lahore,Islamabad,Charsadda,Mardan,not_found,Peshawar,not_found,not_found,not_found,Mirpur,not_found,not_found,Orakzai,not_found,not_found,Muzaffarabad,not_found,not_found,not_found,not_found,Taftan,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Khyber,not_found,not_found,Quetta,not_found,Kurrum,Mohmand,not_found,not_found,not_found,Bajaur,not_found,not_found,not_found,Bhakhar,North Waziristan,South Waziristan,Astore,Skardu,Diamer,Ghanche,not_found,Gilgit,Nagar,Abbottabad,Battagram,Nowshera,Buner,Chitral Lower,Gujrat,Dera Ismail Khan,Haripur,Karak,Kohat,Kohistan Upper,Lakki Marwat,Dir Lower,Malakand,Mandi Bahauddin,Mansehra,Shangla,Swabi,Hafizabad,Swat,Tank,Torghar,Khushab,Dir Upper,Attock,Jhang,Bahawal Nagar,Bahawalpur,Shikarpur,Chakwal,Dera Ghazi Khan,Faisalabad,Gujranwala,Jehlum,Kasur,Khanewal,Laiya,Lodhran,Mianwali,Multan,Muzaffargar,Nankana,Narowal,Okara,Pakpatan,Rahim Yar Khan,Rajanpur,Rawalpindi,Sahewal,Sargodha,Sheikhupura,Sialkot,Toba Tek Singh,Vehari,Badin,Dadu,Ghotki,Hyderabad,Jacobabad,Mirpurkhas,Jamshoro,Kambar Shahdadkot,Karachi,Kashmore,Khairpur,Larkana,Matiari,Naushero Feroz,Sanghar,Shaheed Benazirabad,Sukkur,Tando Alahyar,Tando M. Khan,Tharparkar,Thatta,Sujawal,Umerkot
,,,,,,Raiwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kharmang,,,,,,,,,,Chitral Upper,,,,,,Kohistan Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhambore,,,,,,,,,,,,,,,,,,Shujawal,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shigar,,,,,,,,,,,,,,,,Kolai Pallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
